书名,评分,是否连载,签约状态,分类1,分类2,作者,字数,阅读数,人气值,更新张节,更新时间,总章数,详情页地址
重生的我主宰末世,8.2,连载中,签约作品,科幻,末世危机,爱吃冰麒麟,48.86,0.2,1,第241章  真正的研究所,2022-11-25 10:11:03,241,https://www.qimao.com/shuku/1661845/
万古星帝,8.8,连载中,签约作品,玄幻奇幻,东方玄幻,南墙已,46.18,0.1,0.7,第208章  林听死后一年,2022-11-25 00:04:04,208,https://www.qimao.com/shuku/1661093/
NBA：开局顶级3D天赋，闪爆08奥运,8.0,连载中,签约作品,体育,篮球风云,贺老六,11.52,0.2,0.6,第56章  防挡拆能力,2022-11-25 08:31:03,56,https://www.qimao.com/shuku/1672289/
乡野护花小怪医,8.0,连载中,签约作品,都市人生,异术超能,七香,21.48,0.2,1.2,第106章  荐举,2022-11-24 18:11:06,106,https://www.qimao.com/shuku/1669950/
凌天剑尊,9.3,连载中,签约作品,玄幻奇幻,东方玄幻,笛落青衫,42.47,0.2,0.4,第199章  紫阙真火，剑体终成！,2022-11-24 00:22:09,199,https://www.qimao.com/shuku/1650595/
极品小侯爷,8.9,完结,签约作品,历史,架空历史,梦入山河,267.22,4.2,324.9,第1310章  落下帷幕,2022-10-25 22:48:10,1310,https://www.qimao.com/shuku/208898/
苟在女帝宫我举世无敌,9.1,完结,签约作品,玄幻奇幻,东方玄幻,逍遥自在,125.39,3.9,213.3,第601章  番外篇——滅，剑灵，叶逍遥！,2022-10-01 00:31:08,601,https://www.qimao.com/shuku/220019/
玄龙战神,8.9,完结,签约作品,玄幻奇幻,东方玄幻,黑影,888.3,3.7,501.8,第3945章  赤眼金瞳（大结局）,2022-01-09 18:21:23,3945,https://www.qimao.com/shuku/113614/
我的岳父是崇祯,9.0,完结,签约作品,历史,穿越历史,隔壁小王本尊,195.84,3.3,247,第571章  终章,2022-10-21 16:31:06,571,https://www.qimao.com/shuku/215732/
网游之开局获得成长天赋,9.5,完结,签约作品,游戏,虚拟网游,禅心道骨,172.27,2.9,291.4,第831章  去拿个世界冠军回来！（最终章）,2022-07-22 21:05:06,831,https://www.qimao.com/shuku/213520/
末世强者培养系统,9.1,完结,签约作品,科幻,末世危机,风雨白鸽,211.94,2.8,258.7,第1021章  完结，新的篇章,2022-05-26 08:42:07,1021,https://www.qimao.com/shuku/213501/
神级进化动物杀手团,9.4,完结,签约作品,玄幻奇幻,东方玄幻,九把火,172.26,2.0,374,"第772章  一声兄弟,一生兄弟",2022-04-13 16:05:06,772,https://www.qimao.com/shuku/208895/
中文十级的我异界无敌,9.3,完结,签约作品,玄幻奇幻,异界大陆,心弦轻弹,101.02,1.8,104.6,第405章  太古仙尊【完结章】,2021-09-09 22:22:02,405,https://www.qimao.com/shuku/206350/
万古魔祖,8.8,完结,签约作品,玄幻奇幻,东方玄幻,必火,145.78,1.6,29.2,第703章  回家吧（大结局）,2022-04-20 11:21:05,703,https://www.qimao.com/shuku/214897/
大汉逍遥王,8.8,完结,签约作品,历史,穿越历史,蜂蜜柚子,354.4,1.3,238.7,第1707章  番外 八,2022-04-02 16:48:12,1707,https://www.qimao.com/shuku/197329/
天剑至尊,8.8,完结,签约作品,玄幻奇幻,东方玄幻,残依水,274.46,1.2,33.9,第1302章  世界的真相,2022-07-31 22:54:09,1302,https://www.qimao.com/shuku/215871/
丹武独尊,8.8,完结,签约作品,玄幻奇幻,东方玄幻,十酒,411.81,1.1,90.6,第1960章  大梦一场（终章）,2022-06-15 19:12:15,1960,https://www.qimao.com/shuku/149725/
末世之我有丧尸制造系统,9.0,完结,签约作品,科幻,末世危机,李子很甜,200.38,1.0,127.9,第469章  我的世界（完）,2022-10-31 22:35:05,469,https://www.qimao.com/shuku/220016/
网游之最强刀皇,8.9,完结,签约作品,游戏,虚拟网游,浪翻地球,222.47,0.9,253.7,第732章  大结局,2021-08-23 08:01:09,732,https://www.qimao.com/shuku/149571/
极品小书生,8.8,完结,签约作品,历史,架空历史,麒麟才子,132.32,0.8,40.9,第651章  大结局！,2022-09-27 10:08:05,651,https://www.qimao.com/shuku/222034/
不朽剑帝,9.3,完结,签约作品,玄幻奇幻,东方玄幻,鲨鱼,100.17,0.9,51,第442章  金色大道（大结局）,2021-12-08 11:21:03,442,https://www.qimao.com/shuku/211056/
盖世龙神,9.1,完结,签约作品,玄幻奇幻,东方玄幻,金北,142.61,0.8,62.9,第649章  龙神不灭！（完结）,2021-07-06 17:20:04,649,https://www.qimao.com/shuku/200634/
篮坛超巨之路,9.0,完结,签约作品,体育,篮球风云,灵感,153.07,0.7,204,第703章  击败梦之队，奥运夺金。（完！）,2021-10-24 21:06:04,703,https://www.qimao.com/shuku/211054/
NBA最苟后卫,8.6,完结,签约作品,体育,篮球风云,凌空罩,134.62,0.6,61.8,第593章  征途从未停止,2022-06-19 13:34:05,593,https://www.qimao.com/shuku/215250/
高武之开局融合蚂蚁天赋,9.0,完结,签约作品,科幻,末世危机,菜瓜,109.62,0.6,110.1,第524章  结束，新的世界（大结局）,2022-06-27 23:54:04,524,https://www.qimao.com/shuku/217653/
我能采集万物,9.2,连载中,签约作品,科幻,末世危机,存叶,266.1,4.5,618.6,第1006章  冰川之下的天空,2022-11-24 21:07:08,1006,https://www.qimao.com/shuku/209898/
吞噬古帝,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,黑白仙鹤,577.91,18.5,647,第2710章  我不喜欢这口,2022-11-24 23:08:21,2710,https://www.qimao.com/shuku/213092/
玄龙战神,8.9,完结,签约作品,玄幻奇幻,东方玄幻,黑影,888.3,3.7,501.8,第3945章  赤眼金瞳（大结局）,2022-01-09 18:21:23,3945,https://www.qimao.com/shuku/113614/
史上最狂至尊,8.0,连载中,签约作品,玄幻奇幻,东方玄幻,燕灵仙君,797.84,0.9,550.2,第3856章  封印着很多神日火,2022-11-25 14:32:29,3856,https://www.qimao.com/shuku/191874/
神级进化动物杀手团,9.4,完结,签约作品,玄幻奇幻,东方玄幻,九把火,172.26,2.0,374,"第772章  一声兄弟,一生兄弟",2022-04-13 16:05:06,772,https://www.qimao.com/shuku/208895/
最强回收系统,7.8,完结,签约作品,武侠仙侠,幻想修真,蟑先生,300.47,0.4,377.2,第1361章  大结局,2021-10-01 00:33:09,1361,https://www.qimao.com/shuku/151374/
诸天万界书店系统,8.1,完结,签约作品,武侠仙侠,上古洪荒,八戒也有爱,335.93,0.3,338.7,第1592章  新的世界,2021-10-04 01:59:09,1592,https://www.qimao.com/shuku/152967/
从一条鱼开始进化,8.2,完结,签约作品,玄幻奇幻,异界大陆,不会游泳的鱼,188.47,0.4,335.4,第899章  血染兽笼，落幕而终,2022-01-28 23:42:08,899,https://www.qimao.com/shuku/151756/
九天斩神诀,8.9,连载中,签约作品,玄幻奇幻,异界大陆,小知了,292.97,15.3,604.3,第910章  山河殿前,2022-11-24 19:39:08,910,https://www.qimao.com/shuku/213103/
武逆九千界,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,虚尘,536.36,19.1,543.3,第2480章  恐怖青年,2022-11-25 12:01:57,2480,https://www.qimao.com/shuku/215086/
万古龙帝,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,拓跋流云,699.11,7.7,367.4,第1947章  风行宗，白骨祭坛！,2022-11-25 13:46:16,1947,https://www.qimao.com/shuku/210771/
绝世神皇,9.1,连载中,签约作品,玄幻奇幻,异界大陆,千秋雪,890.11,2.4,290.1,第3408章  我愿意,2022-11-25 00:40:27,3408,https://www.qimao.com/shuku/113612/
极品小侯爷,8.9,完结,签约作品,历史,架空历史,梦入山河,267.22,4.2,324.9,第1310章  落下帷幕,2022-10-25 22:48:10,1310,https://www.qimao.com/shuku/208898/
末世强者培养系统,9.1,完结,签约作品,科幻,末世危机,风雨白鸽,211.94,2.8,258.7,第1021章  完结，新的篇章,2022-05-26 08:42:07,1021,https://www.qimao.com/shuku/213501/
凌天独尊,8.8,连载中,签约作品,玄幻奇幻,东方玄幻,有木,510.84,3.4,258,第2453章  西韩书院韩坪,2022-11-24 22:11:19,2453,https://www.qimao.com/shuku/195409/
网游之最强刀皇,8.9,完结,签约作品,游戏,虚拟网游,浪翻地球,222.47,0.9,253.7,第732章  大结局,2021-08-23 08:01:09,732,https://www.qimao.com/shuku/149571/
网游之开局获得成长天赋,9.5,完结,签约作品,游戏,虚拟网游,禅心道骨,172.27,2.9,291.4,第831章  去拿个世界冠军回来！（最终章）,2022-07-22 21:05:06,831,https://www.qimao.com/shuku/213520/
葬天神帝,8.9,连载中,签约作品,玄幻奇幻,东方玄幻,我爱弹棉花,184.02,4.0,319.4,第775章  未雨绸缪，最后的团圆饭！,2022-11-25 00:27:07,775,https://www.qimao.com/shuku/213697/
我有七个天骄师姐,8.1,完结,签约作品,玄幻奇幻,东方玄幻,七月火,182.55,0.4,107.4,第841章  本院来了！（终）,2022-09-12 21:23:06,841,https://www.qimao.com/shuku/194185/
神宠进化从成为女神宠物开始,8.9,完结,签约作品,玄幻奇幻,东方玄幻,中家的小狐狸,234.48,0.2,238.4,第1153章  大结局,2021-09-30 15:05:07,1153,https://www.qimao.com/shuku/194186/
九狼图,9.4,连载中,签约作品,科幻,末世危机,纯银耳坠,388.12,5.6,188.1,第1283章  辛苦经营,2022-11-25 08:02:11,1283,https://www.qimao.com/shuku/216055/
九天斩神诀,8.9,连载中,签约作品,玄幻奇幻,异界大陆,小知了,292.97,15.3,604.3,第910章  山河殿前,2022-11-24 19:39:08,910,https://www.qimao.com/shuku/213103/
吞噬古帝,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,黑白仙鹤,577.91,18.5,647,第2710章  我不喜欢这口,2022-11-24 23:08:21,2710,https://www.qimao.com/shuku/213092/
风流小村医,8.1,连载中,签约作品,都市人生,乡村生活,卜城,10.15,0.3,0.8,第49章  小摄魂术,2022-11-25 14:34:01,49,https://www.qimao.com/shuku/1672580/
万古至尊,9.1,完结,签约作品,玄幻奇幻,东方玄幻,剑九歌,198.36,0.4,92.8,第908章  终结,2020-07-31 09:01:48,908,https://www.qimao.com/shuku/149140/
武逆九千界,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,虚尘,536.36,19.1,543.3,第2480章  恐怖青年,2022-11-25 12:01:57,2480,https://www.qimao.com/shuku/215086/
万界至尊,8.9,完结,签约作品,玄幻奇幻,东方玄幻,一路向前,242.07,0.5,19.6,第821章  道理之争，击杀天道（大结局）,2022-07-31 23:15:07,821,https://www.qimao.com/shuku/214771/
葬天神帝,8.9,连载中,签约作品,玄幻奇幻,东方玄幻,我爱弹棉花,184.02,4.0,319.4,第775章  未雨绸缪，最后的团圆饭！,2022-11-25 00:27:07,775,https://www.qimao.com/shuku/213697/
万古龙帝,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,拓跋流云,699.11,7.7,367.4,第1947章  风行宗，白骨祭坛！,2022-11-25 13:46:16,1947,https://www.qimao.com/shuku/210771/
荒古武神,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,化十,313.85,10.1,166.5,第1312章  青云域,2022-11-24 17:04:10,1312,https://www.qimao.com/shuku/216404/
震惊我的徒弟是女帝,8.6,完结,签约作品,玄幻奇幻,东方玄幻,山中行,123.77,0.3,53.4,第618章  一切结束,2022-03-31 23:30:05,618,https://www.qimao.com/shuku/216570/
开局截胡五虎上将,9.2,连载中,签约作品,历史,穿越历史,孔明很愁,185.03,10.4,192.5,第899章  肚中英才,2022-11-25 12:11:08,899,https://www.qimao.com/shuku/1648167/
绝世神皇,9.1,连载中,签约作品,玄幻奇幻,异界大陆,千秋雪,890.11,2.4,290.1,第3408章  我愿意,2022-11-25 00:40:27,3408,https://www.qimao.com/shuku/113612/
绝世剑神,8.8,完结,签约作品,玄幻奇幻,异界大陆,快乐的肥仔,156.01,0.6,37.2,第643章  大结局,2020-09-30 10:01:03,643,https://www.qimao.com/shuku/150985/
我能采集万物,9.2,连载中,签约作品,科幻,末世危机,存叶,266.1,4.5,618.6,第1006章  冰川之下的天空,2022-11-24 21:07:08,1006,https://www.qimao.com/shuku/209898/
极道剑尊,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,人间又污秽了,247.33,6.4,138.6,第982章  我此举，只为两位哥哥的脸面！,2022-11-25 09:04:08,982,https://www.qimao.com/shuku/219040/
霸天神王,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,不太勇敢,34.84,0.1,0.3,第155章  王品武技流火天降掌，把所有人都给吓懵了,2022-11-25 00:25:02,155,https://www.qimao.com/shuku/1660004/
万古第一剑,9.1,连载中,签约作品,玄幻奇幻,东方玄幻,千年老龟,85.81,1.6,20.5,第291章  巅峰一剑！,2022-11-24 22:59:03,291,https://www.qimao.com/shuku/1648172/
少年风水师,8.2,完结,签约作品,奇闻异事,奇门秘术,文涛小道,148.65,0.4,149.6,第731章  新时代！,2021-05-26 10:41:03,731,https://www.qimao.com/shuku/157929/
剑镇诸天,9.3,连载中,签约作品,玄幻奇幻,东方玄幻,沐潇三生,213.05,4.8,275.1,第992章  南家覆灭,2022-11-24 21:39:08,992,https://www.qimao.com/shuku/214501/
